CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Cluster,ClusterName
627007.0,7,10,7670.0,3,4,4,2,High Value
627010.0,51,1,301.0,2,1,1,1,Lost
627011.0,5,19,13246.0,4,4,4,2,High Value
627105.0,69,1,363.0,1,1,1,1,Lost
627109.0,25,2,806.0,2,2,1,1,Lost
627111.0,21,1,1034.0,2,1,2,1,Lost
627113.0,42,2,944.0,2,2,2,1,Lost
627114.0,19,3,2008.0,3,3,3,0,Low Value
627116.0,15,3,1356.0,3,3,2,0,Low Value
627117.0,6,6,4450.0,4,3,3,2,High Value
627120.0,10,4,2656.0,3,3,3,0,Low Value
627357.0,68,1,922.0,1,1,2,1,Lost
627358.0,45,4,1885.0,2,3,2,0,Low Value
627401.0,47,2,800.0,2,2,1,1,Lost
627412.0,65,1,518.0,1,1,1,1,Lost
627414.0,80,1,788.0,1,1,1,1,Lost
627416.0,7,2,1582.0,3,2,2,0,Low Value
627425.0,53,1,435.0,1,1,1,1,Lost
627426.0,6,2,788.0,4,2,1,0,Low Value
627604.0,74,2,887.0,1,2,2,1,Lost
627657.0,45,3,1743.0,2,3,2,0,Low Value
627751.0,76,1,311.0,1,1,1,1,Lost
627753.0,60,1,1518.0,1,1,2,1,Lost
627756.0,49,2,1220.0,2,2,2,1,Lost
627757.0,23,1,301.0,2,1,1,1,Lost
627764.0,61,1,744.0,1,1,1,1,Lost
627802.0,11,1,540.0,3,1,1,1,Lost
627804.0,23,1,325.0,2,1,1,1,Lost
627807.0,23,1,517.0,2,1,1,1,Lost
627808.0,39,2,815.0,2,2,1,1,Lost
627809.0,25,2,796.0,2,2,1,1,Lost
627811.0,7,12,9897.0,3,4,4,2,High Value
627812.0,10,2,1047.0,3,2,2,0,Low Value
627814.0,44,7,5802.0,2,3,3,0,Low Value
627818.0,20,3,1814.0,3,3,2,0,Low Value
627851.0,20,3,1980.0,3,3,3,0,Low Value
627852.0,7,1,728.0,3,1,1,1,Lost
627853.0,50,1,459.0,2,1,1,1,Lost
627855.0,72,4,3109.0,1,3,3,0,Low Value
627858.0,18,2,2070.0,3,2,3,0,Low Value
627859.0,68,1,597.0,1,1,1,1,Lost
627861.0,58,1,909.0,1,1,2,1,Lost
628001.0,30,6,3036.0,2,3,3,0,Low Value
628002.0,17,12,7266.0,3,4,4,2,High Value
628003.0,19,2,1176.0,3,2,2,0,Low Value
628004.0,22,3,1571.0,2,3,2,0,Low Value
628005.0,26,1,301.0,2,1,1,1,Lost
628008.0,19,12,6855.0,3,4,4,2,High Value
628101.0,22,2,890.0,2,2,2,1,Lost
628103.0,15,6,5790.0,3,3,3,0,Low Value
628151.0,22,1,855.0,2,1,2,1,Lost
628203.0,22,1,399.0,2,1,1,1,Lost
628204.0,3,5,4262.0,4,3,3,2,High Value
628205.0,30,2,1111.0,2,2,2,1,Lost
628206.0,22,1,499.0,2,1,1,1,Lost
628215.0,37,3,1879.0,2,3,2,0,Low Value
628216.0,30,3,3797.0,2,3,3,0,Low Value
628251.0,50,1,517.0,2,1,1,1,Lost
628501.0,11,8,4016.0,3,3,3,0,Low Value
628502.0,14,4,1698.0,3,3,2,0,Low Value
628552.0,52,1,359.0,1,1,1,1,Lost
628617.0,57,1,376.0,1,1,1,1,Lost
628704.0,3,1,699.0,4,1,1,1,Lost
628717.0,53,1,626.0,1,1,1,1,Lost
628801.0,23,1,1152.0,2,1,2,1,Lost
628802.0,35,1,435.0,2,1,1,1,Lost
628902.0,64,2,798.0,1,2,1,1,Lost
628904.0,34,1,631.0,2,1,1,1,Lost
628952.0,75,1,518.0,1,1,1,1,Lost
629001.0,2,23,14182.0,4,4,4,2,High Value
629002.0,11,18,12156.0,3,4,4,2,High Value
629003.0,24,13,7691.0,2,4,4,2,High Value
629004.0,1,16,10073.0,4,4,4,2,High Value
629101.0,42,1,690.0,2,1,1,1,Lost
629151.0,24,1,633.0,2,1,1,1,Lost
629152.0,30,1,399.0,2,1,1,1,Lost
629153.0,73,1,545.0,1,1,1,1,Lost
629154.0,11,3,1433.0,3,3,2,0,Low Value
629155.0,84,1,871.0,1,1,2,1,Lost
629157.0,9,8,4895.0,3,3,3,0,Low Value
629158.0,12,5,2700.0,3,3,3,0,Low Value
629159.0,84,1,999.0,1,1,2,1,Lost
629160.0,41,4,2504.0,2,3,3,0,Low Value
629161.0,8,6,4370.0,3,3,3,0,Low Value
629162.0,66,1,988.0,1,1,2,1,Lost
629163.0,11,3,1784.0,3,3,2,0,Low Value
629164.0,77,2,980.0,1,2,2,1,Lost
629165.0,7,11,8132.0,3,4,4,2,High Value
629166.0,39,3,1891.0,2,3,2,0,Low Value
629167.0,14,3,2017.0,3,3,3,0,Low Value
629169.0,83,1,696.0,1,1,1,1,Lost
629171.0,11,3,2436.0,3,3,3,0,Low Value
629175.0,46,5,3489.0,2,3,3,0,Low Value
629176.0,27,3,1532.0,2,3,2,0,Low Value
629177.0,61,2,1913.0,1,2,2,1,Lost
629180.0,69,1,442.0,1,1,1,1,Lost
629193.0,54,1,735.0,1,1,1,1,Lost
629201.0,15,4,2918.0,3,3,3,0,Low Value
629202.0,11,1,487.0,3,1,1,1,Lost
629203.0,62,1,284.0,1,1,1,1,Lost
629251.0,3,12,8840.0,4,4,4,2,High Value
629252.0,75,1,551.0,1,1,1,1,Lost
629301.0,59,2,928.0,1,2,2,1,Lost
629302.0,12,1,817.0,3,1,1,1,Lost
629303.0,52,1,307.0,1,1,1,1,Lost
629401.0,24,6,3498.0,2,3,3,0,Low Value
629402.0,86,1,364.0,1,1,1,1,Lost
629403.0,85,1,568.0,1,1,1,1,Lost
629501.0,6,6,3182.0,4,3,3,2,High Value
629502.0,48,4,2028.0,2,3,3,0,Low Value
629602.0,24,4,3353.0,2,3,3,0,Low Value
629603.0,81,2,1066.0,1,2,2,1,Lost
629701.0,53,2,1140.0,1,2,2,1,Lost
629702.0,18,8,5736.0,3,3,3,0,Low Value
629703.0,8,4,3424.0,3,3,3,0,Low Value
629801.0,86,1,449.0,1,1,1,1,Lost
629802.0,25,3,1157.0,2,3,2,0,Low Value
629804.0,16,2,1183.0,3,2,2,0,Low Value
629809.0,36,1,399.0,2,1,1,1,Lost
629851.0,1,3,1196.0,4,3,2,0,Low Value
629852.0,45,2,1730.0,2,2,2,1,Lost
630001.0,13,5,3040.0,3,3,3,0,Low Value
630002.0,16,6,3341.0,3,3,3,0,Low Value
630006.0,64,1,499.0,1,1,1,1,Lost
630101.0,26,2,786.0,2,2,1,1,Lost
630108.0,4,4,2410.0,4,3,3,2,High Value
630211.0,62,3,1620.0,1,3,2,0,Low Value
630302.0,23,2,2929.0,2,2,3,0,Low Value
630307.0,34,4,4067.0,2,3,3,0,Low Value
630502.0,8,2,1033.0,3,2,2,0,Low Value
630551.0,70,1,442.0,1,1,1,1,Lost
630552.0,4,1,499.0,4,1,1,1,Lost
630561.0,69,3,894.0,1,3,2,0,Low Value
630562.0,8,3,2343.0,3,3,3,0,Low Value
630606.0,52,1,641.0,1,1,1,1,Lost
630611.0,16,1,345.0,3,1,1,1,Lost
630702.0,45,3,2103.0,2,3,3,0,Low Value
630709.0,62,1,725.0,1,1,1,1,Lost
631001.0,31,8,11637.0,2,3,4,0,Low Value
631002.0,20,6,2580.0,3,3,3,0,Low Value
631003.0,5,6,3791.0,4,3,3,2,High Value
631004.0,82,1,744.0,1,1,1,1,Lost
631006.0,38,1,371.0,2,1,1,1,Lost
631102.0,3,3,1950.0,4,3,3,2,High Value
631203.0,59,1,442.0,1,1,1,1,Lost
631204.0,63,4,1552.0,1,3,2,0,Low Value
631209.0,35,6,3406.0,2,3,3,0,Low Value
631402.0,71,2,669.0,1,2,1,1,Lost
631501.0,4,28,14951.0,4,4,4,2,High Value
631502.0,21,15,7576.0,2,4,4,2,High Value
631552.0,24,3,1921.0,2,3,2,0,Low Value
631604.0,90,1,998.0,1,1,2,1,Lost
631605.0,8,6,3851.0,3,3,3,0,Low Value
632001.0,6,23,15249.0,4,4,4,2,High Value
632002.0,9,18,13710.0,3,4,4,2,High Value
632003.0,80,1,950.0,1,1,2,1,Lost
632004.0,17,12,6823.0,3,4,4,2,High Value
632006.0,12,16,11409.0,3,4,4,2,High Value
632007.0,11,13,8501.0,3,4,4,2,High Value
632008.0,76,2,1237.0,1,2,2,1,Lost
632009.0,1,22,14439.0,4,4,4,2,High Value
632010.0,29,1,735.0,2,1,1,1,Lost
632011.0,14,1,1125.0,3,1,2,1,Lost
632012.0,40,3,2193.0,2,3,3,0,Low Value
632013.0,62,2,706.0,1,2,1,1,Lost
632014.0,19,24,14148.0,3,4,4,2,High Value
632204.0,28,1,641.0,2,1,1,1,Lost
632301.0,3,4,2797.0,4,3,3,2,High Value
632311.0,32,1,386.0,2,1,1,1,Lost
632317.0,79,3,2630.0,1,3,3,0,Low Value
632401.0,1,6,3899.0,4,3,3,2,High Value
632402.0,16,1,517.0,3,1,1,1,Lost
632403.0,23,6,3742.0,2,3,3,0,Low Value
632404.0,51,4,2000.0,2,3,3,0,Low Value
632405.0,31,3,2469.0,2,3,3,0,Low Value
632406.0,19,5,3770.0,3,3,3,0,Low Value
632503.0,14,4,1374.0,3,3,2,0,Low Value
632508.0,56,1,487.0,1,1,1,1,Lost
632512.0,8,1,735.0,3,1,1,1,Lost
632513.0,2,5,3365.0,4,3,3,2,High Value
632514.0,72,1,376.0,1,1,1,1,Lost
632515.0,55,2,1277.0,1,2,2,1,Lost
632519.0,9,6,4135.0,3,3,3,0,Low Value
632521.0,82,1,399.0,1,1,1,1,Lost
632601.0,39,2,1273.0,2,2,2,1,Lost
632602.0,1,18,10767.0,4,4,4,2,High Value
635001.0,13,10,6372.0,3,4,4,2,High Value
635002.0,1,1,431.0,4,1,1,1,Lost
635103.0,11,5,3102.0,3,3,3,0,Low Value
635104.0,20,2,1331.0,3,2,2,0,Low Value
635109.0,2,63,38820.0,4,4,4,2,High Value
635110.0,5,13,8880.0,4,4,4,2,High Value
635112.0,38,6,5379.0,2,3,3,0,Low Value
635113.0,53,2,1392.0,1,2,2,1,Lost
635114.0,57,4,2904.0,1,3,3,0,Low Value
635124.0,86,1,1201.0,1,1,2,1,Lost
635126.0,6,14,8505.0,4,4,4,2,High Value
635201.0,81,1,316.0,1,1,1,1,Lost
635204.0,44,2,1371.0,2,2,2,1,Lost
635206.0,31,3,2513.0,2,3,3,0,Low Value
635307.0,84,1,399.0,1,1,1,1,Lost
635601.0,2,11,10177.0,4,4,4,2,High Value
635602.0,31,2,2451.0,2,2,3,0,Low Value
635701.0,59,1,752.0,1,1,1,1,Lost
635751.0,43,4,2082.0,2,3,3,0,Low Value
635752.0,33,2,974.0,2,2,2,1,Lost
635802.0,16,15,10254.0,3,4,4,2,High Value
635803.0,9,2,1207.0,3,2,2,0,Low Value
635804.0,48,1,382.0,2,1,1,1,Lost
635808.0,72,1,517.0,1,1,1,1,Lost
635809.0,26,3,1830.0,2,3,2,0,Low Value
635813.0,14,1,544.0,3,1,1,1,Lost
635814.0,23,1,471.0,2,1,1,1,Lost
635852.0,74,2,1277.0,1,2,2,1,Lost
636001.0,4,9,5027.0,4,4,3,2,High Value
636002.0,21,4,1899.0,2,3,2,0,Low Value
636003.0,28,13,7879.0,2,4,4,2,High Value
